11018,54,Fifties
11025,58,Fifties
11026,58,Fifties
11027,58,Fifties
11028,58,Fifties
11029,57,Fifties
11030,52,Fifties
11031,57,Fifties
11032,57,Fifties
11033,51,Fifties
11034,57,Fifties
11035,56,Fifties
11038,56,Fifties
11039,55,Fifties
11044,55,Fifties
11045,54,Fifties
11046,54,Fifties
11047,54,Fifties
11048,54,Fifties
11050,53,Fifties
11051,53,Fifties
11052,53,Fifties
11054,52,Fifties
11055,52,Fifties
11056,51,Fifties
11059,50,Fifties
11060,50,Fifties
11126,55,Fifties
11134,53,Fifties
11178,55,Fifties
11179,50,Fifties
11181,50,Fifties
11184,54,Fifties
11191,58,Fifties
11192,59,Fifties
11193,59,Fifties
11194,59,Fifties
11195,58,Fifties
11196,58,Fifties
11197,58,Fifties
11198,58,Fifties
11199,52,Fifties
11200,57,Fifties
11201,57,Fifties
11202,51,Fifties
11203,50,Fifties
11204,56,Fifties
11205,56,Fifties
11206,56,Fifties
11207,56,Fifties
11208,56,Fifties
11209,56,Fifties
11210,56,Fifties
11212,55,Fifties
11213,55,Fifties
11214,55,Fifties
11216,54,Fifties
11217,54,Fifties
11219,54,Fifties
11221,54,Fifties
11222,54,Fifties
11223,53,Fifties
11224,53,Fifties
11228,53,Fifties
11229,53,Fifties
11230,53,Fifties
11234,52,Fifties
11235,52,Fifties
11236,52,Fifties
11232,52,Fifties
11295,50,Fifties
11311,51,Fifties
11312,51,Fifties
11313,51,Fifties
11318,52,Fifties
11308,50,Fifties
11309,50,Fifties
11315,51,Fifties
11316,51,Fifties
11373,55,Fifties
11404,52,Fifties
11405,52,Fifties
11406,52,Fifties
11407,52,Fifties
11411,50,Fifties
11412,50,Fifties
11413,50,Fifties
11414,50,Fifties
11416,59,Fifties
11417,59,Fifties
11418,59,Fifties
11419,59,Fifties
11420,58,Fifties
11421,58,Fifties
11422,58,Fifties
11423,50,Fifties
11426,51,Fifties
11427,50,Fifties
11428,51,Fifties
11429,52,Fifties
11430,52,Fifties
11432,53,Fifties
11433,53,Fifties
11435,54,Fifties
11436,54,Fifties
11437,54,Fifties
11438,55,Fifties
11439,56,Fifties
11440,57,Fifties
11441,57,Fifties
11442,57,Fifties
11510,51,Fifties
11515,50,Fifties
11517,50,Fifties
11930,57,Fifties
11942,55,Fifties
11943,55,Fifties
11944,54,Fifties
11946,53,Fifties
11947,53,Fifties
11948,53,Fifties
11951,52,Fifties
11952,50,Fifties
12013,51,Fifties
12014,55,Fifties
12021,58,Fifties
12064,54,Fifties
12076,55,Fifties
12077,54,Fifties
12078,59,Fifties
12079,53,Fifties
12080,58,Fifties
12081,53,Fifties
12082,58,Fifties
12083,58,Fifties
12084,57,Fifties
12085,56,Fifties
12086,57,Fifties
12087,51,Fifties
12088,57,Fifties
12089,51,Fifties
12090,56,Fifties
12091,50,Fifties
12092,56,Fifties
12093,56,Fifties
12094,56,Fifties
12095,56,Fifties
12096,56,Fifties
12097,55,Fifties
12098,55,Fifties
12099,55,Fifties
12100,55,Fifties
12101,55,Fifties
12102,55,Fifties
12104,50,Fifties
12105,55,Fifties
12106,54,Fifties
12109,54,Fifties
12110,54,Fifties
12111,54,Fifties
12112,54,Fifties
12114,53,Fifties
12115,53,Fifties
12116,53,Fifties
12117,53,Fifties
12119,53,Fifties
12120,52,Fifties
12121,52,Fifties
12122,51,Fifties
12178,50,Fifties
12196,51,Fifties
12197,51,Fifties
12198,51,Fifties
12199,52,Fifties
12192,50,Fifties
12193,50,Fifties
12194,51,Fifties
12234,50,Fifties
12237,58,Fifties
12238,57,Fifties
12287,52,Fifties
12297,59,Fifties
12298,59,Fifties
12299,59,Fifties
12300,58,Fifties
12301,58,Fifties
12302,58,Fifties
12303,58,Fifties
12304,53,Fifties
12305,50,Fifties
12306,51,Fifties
12307,50,Fifties
12292,55,Fifties
12295,54,Fifties
12309,50,Fifties
12310,50,Fifties
12313,51,Fifties
12314,51,Fifties
12315,51,Fifties
12317,51,Fifties
12318,51,Fifties
12319,52,Fifties
12328,54,Fifties
12329,54,Fifties
12330,55,Fifties
12331,56,Fifties
12332,56,Fifties
12333,56,Fifties
12334,50,Fifties
12335,51,Fifties
12336,57,Fifties
12324,53,Fifties
12325,53,Fifties
12326,53,Fifties
12321,53,Fifties
12322,53,Fifties
12365,57,Fifties
12362,57,Fifties
12418,51,Fifties
12419,51,Fifties
12420,51,Fifties
12425,50,Fifties
12426,50,Fifties
12427,50,Fifties
12422,51,Fifties
12550,50,Fifties
12567,57,Fifties
12623,52,Fifties
12624,52,Fifties
12625,52,Fifties
12626,53,Fifties
12630,50,Fifties
12633,59,Fifties
12634,59,Fifties
12635,52,Fifties
12636,58,Fifties
12637,58,Fifties
12639,51,Fifties
12641,50,Fifties
12648,52,Fifties
12649,52,Fifties
12650,54,Fifties
12651,54,Fifties
12652,54,Fifties
12653,54,Fifties
12654,54,Fifties
12655,55,Fifties
12657,55,Fifties
12658,50,Fifties
12659,56,Fifties
